Alert,CheckedAtUTC,DrawdownPct,Error,HighDate,Latest,PeriodHigh,Ticker
True,2026-07-25T01:00:10.578231+00:00,-31.85,,2026-06-25,202.01,296.44,GNRC
False,2026-07-25T01:00:10.827588+00:00,-7.48,,2026-06-22,404.07,436.74,ETN
True,2026-07-25T01:00:10.907894+00:00,-24.12,,2026-05-27,429.81,566.47,DY
True,2026-07-25T01:00:11.011508+00:00,-23.48,,2026-04-23,34.16,44.64,SMERY
True,2026-07-25T01:00:11.119615+00:00,-33.52,,2025-10-15,274.35,412.7,CEG
True,2026-07-25T01:00:11.227683+00:00,-22.19,,2026-05-26,1333.8101,1714.09,MPWR
True,2026-07-25T01:00:11.305963+00:00,-47.37,,2026-06-25,184.89,351.28,BE
False,2026-07-25T01:00:11.416049+00:00,-14.01,,2026-06-03,77.83,90.51,ROBO
False,2026-07-25T01:00:11.528391+00:00,-15.69,,2026-06-22,29.33,34.79,AIPO
False,2026-07-25T01:00:11.664846+00:00,-4.51,,2026-07-07,240.14,251.49,ITA
False,2026-07-25T01:00:11.808192+00:00,-1.84,,2026-07-07,162.57,165.61,XLV
False,2026-07-25T01:00:11.915288+00:00,-12.56,,2026-05-14,206.84,236.54,NVDA
True,2026-07-25T01:00:12.019241+00:00,-27.04,,2026-01-29,371.9,509.7,GLD
False,2026-07-25T01:00:12.142650+00:00,-11.3,,2026-05-11,177.4,199.99,GRID
False,2026-07-25T01:00:12.311247+00:00,-6.05,,2026-03-30,59.62,63.46,XLE
False,2026-07-25T01:00:12.482814+00:00,-3.16,,2026-02-27,46.29,47.8,XLU
True,2026-07-25T01:00:12.627586+00:00,-25.43,,2025-09-23,87.98,117.99,IGV
False,2026-07-25T01:00:12.769310+00:00,-16.47,,2026-06-22,561.19,671.83,SMH
True,2026-07-25T01:00:12.894833+00:00,-23.51,,2026-04-21,303.99,397.44,AEIS
True,2026-07-25T01:00:12.969461+00:00,-22.13,,2026-06-25,626.07,804.0,IESC
False,2026-07-25T01:00:13.094710+00:00,-17.79,,2026-06-22,151.79,184.64,NVT
True,2026-07-25T01:00:13.220002+00:00,-30.4,,2026-06-22,63.46,91.18,POWI
False,2026-07-25T01:00:13.307282+00:00,-16.97,,2026-05-07,64.217,77.34,NUKZ
True,2026-07-25T01:00:13.409054+00:00,-20.65,,2026-05-06,625.84,788.75,PWR
True,2026-07-25T01:00:13.513632+00:00,-23.47,,2026-05-06,337.84,441.43,MTZ
False,2026-07-25T01:00:13.596882+00:00,-15.15,,2026-07-06,1014.75,1195.9399,GEV
False,2026-07-25T01:00:13.716005+00:00,-16.41,,2026-05-14,1733.6,2073.99,FIX
True,2026-07-25T01:00:13.794544+00:00,-28.98,,2026-06-03,118.51,166.86,FLEX
True,2026-07-25T01:00:13.876972+00:00,-34.28,,2026-06-04,660.935,1005.68,STRL
False,2026-07-25T01:00:14.104961+00:00,-3.59,,2026-07-07,135.54,140.58,AEP
True,2026-07-25T01:00:14.233430+00:00,-31.76,,2026-06-03,102.67,150.46,AAON
True,2026-07-25T01:00:14.308905+00:00,-24.24,,2026-05-06,129.99,171.577,ECG
True,2026-07-25T01:00:14.430608+00:00,-21.76,,2026-05-06,744.85,951.96,EME
True,2026-07-25T01:00:14.542236+00:00,-31.05,,2026-06-03,19.21,27.86,FOTO
True,2026-07-25T01:00:14.646895+00:00,-57.14,,2026-05-13,100.15,233.67,AAOI
True,2026-07-25T01:00:14.770250+00:00,-22.84,,2026-06-03,381.92,495.0,AVGO
False,2026-07-25T01:00:14.854283+00:00,-8.34,,2026-07-09,173.99,189.817,ANET
True,2026-07-25T01:00:14.933148+00:00,-36.43,,2026-05-14,476.04,748.89,FN
True,2026-07-25T01:00:15.037832+00:00,-35.82,,2026-06-03,282.39,440.0,COHR
True,2026-07-25T01:00:15.150440+00:00,-38.67,,2026-06-03,390.96,637.51,CIEN
True,2026-07-25T01:00:15.323724+00:00,-47.85,,2026-06-03,9.1,17.45,NOK
True,2026-07-25T01:00:15.406778+00:00,-29.72,,2026-05-12,762.99,1085.6801,LITE
True,2026-07-25T01:00:15.577280+00:00,-46.04,,2026-06-30,146.65,271.78,GLW
True,2026-07-25T01:00:15.706736+00:00,-41.12,,2026-06-18,194.23,329.88,MRVL
False,2026-07-25T01:00:15.928154+00:00,-16.3,,2026-06-22,279.58,334.03,TXN
False,2026-07-25T01:00:16.060943+00:00,-12.49,,2026-06-02,96.44,110.2,ABBNY
False,2026-07-25T01:00:16.223558+00:00,-16.61,,2026-06-22,371.86,445.91,ADI
True,2026-07-25T01:00:16.392657+00:00,-33.58,,2026-06-23,60890.0,91680.0,6146.T
True,2026-07-25T01:00:16.479557+00:00,-23.58,,2026-05-14,290.36,379.935,VRT
True,2026-07-25T01:00:16.614001+00:00,-31.51,,2026-06-30,210.52,307.37,KLAC
True,2026-07-25T01:00:16.737989+00:00,-30.4,,2026-06-30,305.21,438.5,LRCX
False,2026-07-25T01:00:16.873737+00:00,-15.78,,2026-06-30,403.41,479.0,TSM
True,2026-07-25T01:00:17.035367+00:00,-26.62,,2026-06-25,920.95,1255.0,MU
True,2026-07-25T01:00:17.119045+00:00,-44.85,,2026-06-03,96.01,174.1,RMBS
True,2026-07-25T01:00:17.203753+00:00,-34.6,,2026-06-22,53.2,81.34,DRAM
True,2026-07-25T01:00:17.334229+00:00,-33.38,,2026-06-19,249500.0,374500.0,005930.KS
True,2026-07-25T01:00:17.477743+00:00,-41.11,,2026-06-25,1759000.0,2987000.0,000660.KS
False,,,no price data,,,,07709.HK
False,,,no price data,,,,07747.HK
True,2026-07-25T01:00:18.641792+00:00,-38.98,,2026-06-22,1436.5601,2354.3899,SNDK
True,2026-07-25T01:00:18.783636+00:00,-25.62,,2026-06-18,851.69,1145.0,STX
True,2026-07-25T01:00:18.895546+00:00,-35.01,,2026-06-18,519.8,799.87,WDC
True,2026-07-25T01:00:19.004979+00:00,-23.69,,2026-06-22,270.9,355.0,SIMO
True,2026-07-25T01:00:19.108495+00:00,-29.0,,2026-06-15,125.92,177.35,SMTC
True,2026-07-25T01:00:19.183976+00:00,-67.01,,2026-05-26,47.23,143.16,AXTI
True,2026-07-25T01:00:19.257724+00:00,-38.52,,2026-05-11,554.46,901.81,SITM
True,2026-07-25T01:00:19.344771+00:00,-37.24,,2026-06-03,2134.0,3400.0,268A.T
False,2026-07-25T01:00:19.467445+00:00,-11.26,,2026-05-14,63.15,71.16,MAGS
True,2026-07-25T01:00:19.651729+00:00,-31.28,,2025-07-31,381.7,555.45,MSFT
True,2026-07-25T01:00:19.730953+00:00,-37.25,,2025-12-22,313.03,498.83,TSLA
True,2026-07-25T01:00:19.854006+00:00,-21.11,,2026-05-18,319.09,404.47,GOOG
True,2026-07-25T01:00:19.943556+00:00,-25.25,,2025-08-15,595.19,796.25,META
False,2026-07-25T01:00:20.023301+00:00,-16.68,,2026-05-05,232.11,278.56,AMZN
False,2026-07-25T01:00:20.228877+00:00,-0.59,,2026-07-17,333.02,334.99,AAPL
True,2026-07-25T01:00:20.312733+00:00,-53.08,,2025-10-10,71.88,153.2,CRWV
True,2026-07-25T01:00:20.578486+00:00,-35.57,,2026-06-02,214.19,332.46,IBM
True,2026-07-25T01:00:20.671349+00:00,-40.37,,2026-06-15,51.66,86.63,VECO
False,2026-07-25T01:00:20.884168+00:00,-3.89,,2026-06-25,295.77,307.74,NDSN
True,2026-07-25T01:00:20.968932+00:00,-29.46,,2026-06-30,272.62,386.46,ONTO
True,2026-07-25T01:00:21.046368+00:00,-28.9,,2026-06-15,437.98,615.99,NVMI
True,2026-07-25T01:00:21.208766+00:00,-36.79,,2026-07-01,17370.0,27480.0,4062.T
