Ticker,最新价,公司主营,市值,1日涨幅,5日涨幅,20日涨幅,连涨天数,成交量倍数,20日平均成交额,距离52周高点,信号
QMCO,24.68,,,0.12488603939935383,1.1130136695492454,1.5708332629667416,3,2.281905115248551,30831642.82556057,0.0,5日涨幅>20% / 放量大涨 / 20日新高
BOXL,6.8,,,-0.13595930246296395,1.060606148179461,0.7571060443978532,0,0.49137675487534765,26906493.139294386,-0.960400651395319,5日涨幅>20%
XHLD,5.495,,,0.027102800656306103,0.9555160133290412,1.73383080180643,4,0.27782159505018306,27079188.417372704,-0.13803923363779103,5日涨幅>20% / 20日新高
ABCL,10.97,,,0.05939167088168329,0.6799387311736043,0.7808442433058564,6,2.27447911122699,64144105.80818415,0.0,连续5天上涨 / 5日涨幅>20% / 20日新高
MB,6.02,,,-0.011494280772986643,0.6053333282470703,0.501246792348726,0,0.026519680812123282,14530605.662800074,-0.5256107029166127,5日涨幅>20%
ARX,19.51,,,0.4335048288785204,0.5913539856973746,0.538643514142358,2,30.462107818601563,29471268.226423264,-0.3507487279793262,5日涨幅>20% / 放量大涨 / 20日新高
BWMN,42.2,,,-0.00047371997123168974,0.564121626350538,0.5984849004815549,0,2.5066540374141604,12010191.17275238,-0.0501913015286779,5日涨幅>20%
VREX,18.5,,,0.0027099856364765085,0.510204081632653,0.7193308184457625,1,0.8644430664795535,20660791.916131973,-0.004305700970643311,5日涨幅>20%
TEAM,165.98,,,0.06918313485146022,0.5065807251172803,0.7970982528224051,5,1.0380921216742878,618572163.7695694,-0.08982235593325993,连续5天上涨 / 5日涨幅>20% / 20日新高
HZO,52.04,,,-0.0017264559897148812,0.4813549482854984,0.475474914661427,0,0.9154815671929628,37205526.736717224,-0.008006065121522798,5日涨幅>20%
NIQ,16.86,,,0.0029744881616733387,0.44473011997664114,0.5121077297914696,3,1.0269285681151652,25481090.75922489,-0.08617886649531892,5日涨幅>20% / 20日新高
SHAZ,72.02,,,0.05200113359921432,0.3810161943586372,0.09786582802251087,4,0.763524647932444,129812818.00327301,-0.22308523177969664,5日涨幅>20% / 20日新高
QNST,20.74,,,-0.002405057345227668,0.3626806443655175,0.19815138134026777,0,0.7401518808275546,19275142.703666687,-0.05812900363470308,5日涨幅>20%
FIGS,14.84,,,0.02912621872897314,0.35897436345296474,0.492957824854922,6,0.46108618553176944,41448762.77701855,-0.13317760367280462,连续5天上涨 / 5日涨幅>20% / 20日新高
CAI,22.18,,,-0.0035938869219891423,0.3483282234944063,0.2703322719472916,0,0.6151262886784624,86455532.53518581,-0.4356233909475582,5日涨幅>20%
P,117.35,,,0.05341110293306395,0.3448314875229326,0.716395988882532,6,1.3329974397137558,226893679.24259186,0.0,连续5天上涨 / 5日涨幅>20% / 20日新高
NBIS,255.04,,,-0.016049454957493214,0.3431640337461275,0.48477607814219614,0,1.3730329611883223,5207760787.042313,-0.11039802185547809,5日涨幅>20%
SMCI,39.16,,,0.04121242254470836,0.33287954275048115,0.5867098607450036,5,2.1359940297332884,1717192955.99782,-0.3326516761459857,连续5天上涨 / 5日涨幅>20% / 20日新高
ACHR,6.97,,,0.10810808147259454,0.33269593972705414,0.5523385624707684,1,1.3697763337191498,235535199.88075256,-0.4890029607951071,5日涨幅>20% / 20日新高
RPD,13.78,,,0.12306432101655607,0.3275529461507527,0.1322924935566252,1,0.82366523527845,28721733.04461956,-0.3578751015445436,5日涨幅>20% / 20日新高
FSLY,30.02,,,0.052225718025152856,0.32363315933963355,0.47736224943990413,1,0.6860736931602831,160379090.70886612,-0.10388058335033812,5日涨幅>20% / 20日新高
OMER,17.35,,,0.26549965960574373,0.3193917022644652,0.8817787287397607,2,8.328272391689323,18812683.30980301,0.0,5日涨幅>20% / 放量大涨 / 20日新高
BRUN,22.55,,,0.017140241743748508,0.31180910625240843,-0.05291895242098299,3,1.9268490341268723,36530034.690151215,-0.4247449286179654,5日涨幅>20%
VEEE,11.96,,,-0.04319999694824217,0.30141464464007517,-0.6694306263884686,0,0.07246681700543338,39690058.974580765,-0.886181958224782,5日涨幅>20%
NN,19.51,,,0.014560618476902265,0.30066668192545576,0.40968208192062283,3,0.8087717820867959,49896886.88875675,-0.17295463744447948,5日涨幅>20% / 20日新高
